Week,Product,Var_Product_1,Var_Product_2,Var_Product_3,Var_Product_4,Var_Product_5,Var_Product_6,Var_Product_7,Var_Product_8,Var_Product_9,Var_Product_10,Var_Product_11,Var_Product_12,Post_Product_1,Post_Product_2,Post_Product_3,Post_Product_4,Post_Product_5,Post_Product_6,Post_Product_7,Post_Product_8,Post_Product_9,Post_Product_10,Post_Product_11,Post_Product_12,Prev_Product_1,Prev_Product_2,Prev_Product_3,Prev_Product_4,Prev_Product_5,Prev_Product_6,Prev_Product_7,Prev_Product_8,Prev_Product_9,Prev_Product_10,Prev_Product_11,Prev_Product_12
201901,53875.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,120400.0,-999.0,-999.0,104100.0,138800.0,-999.0,-999.0,-999.0,100555.83871853208,128511.5694447335,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0
201902,126495.0,120400.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,104100.0,138800.0,-999.0,-999.0,-999.0,225550.0,52050.0,-999.0,-999.0,121450.0,53875.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0
201903,,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,104100.0,138800.0,-999.0,-999.0,-999.0,225550.0,52050.0,-999.0,-999.0,121450.0,242900.0,,,,,,,,,,,,
201904,,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,138800.0,-999.0,-999.0,-999.0,34700.0,242900.0,-999.0,-999.0,121450.0,242900.0,17350.0,,,,,,,,,,,,
201905,,-999.0,104100.0,104100.0,104100.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,34700.0,208200.0,-999.0,34700.0,-999.0,208200.0,242900.0,173500.0,-999.0,,,,,,,,,,,,
201906,,-999.0,138800.0,138800.0,138800.0,138800.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,34700.0,208200.0,-999.0,34700.0,-999.0,-999.0,-999.0,-999.0,-999.0,167593.06402186048,,,,,,,,,,,,
201907,,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,34700.0,208200.0,-999.0,34700.0,-999.0,156150.0,242900.0,173500.0,-999.0,-999.0,17350.0,,,,,,,,,,,,
201908,,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,34700.0,208200.0,-999.0,34700.0,-999.0,208200.0,242900.0,173500.0,-999.0,-999.0,17350.0,225550.0,,,,,,,,,,,,
201909,8407.0,34700.0,34700.0,34700.0,34700.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,208200.0,-999.0,34700.0,-999.0,208200.0,-999.0,173500.0,173500.0,69400.0,17350.0,225550.0,242900.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,126495.0,53875.0,-999.0,-999.0,-999.0,-999.0
201910,172560.0,208200.0,208200.0,208200.0,208200.0,208200.0,34700.0,225550.0,225550.0,100555.83871853208,-999.0,-999.0,-999.0,-999.0,34700.0,-999.0,208200.0,-999.0,173500.0,173500.0,242900.0,-999.0,242900.0,242900.0,-999.0,8407.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,126495.0,53875.0,-999.0,-999.0,-999.0
